Audio_file,Raga Name,Tonic,Remarks,Artist Hindustani Music,Artist Others,Singer,Instrument,Vocals,Type,Accompanist,Raga,Tala,Bol,Gharana,Doha,Kaand,Compositions,Occasion,Participants,Director,Producer,Composer,Narrator,Lyricist,Episode,First Line of Song,Items,State / Region,Performers Conductor,Creation Date,Modification Date,Modified By,Track Count,Track Version Count,number of 30 second files
Gavati-3,Gavati,A#,"HINDUSTANI CLASSICAL VOCAL BY SUSHRI. VIRAJ AMAR, CUTA- 01",,,SUSHRI. VIRAJ AMAR,,VOCAL RECITAL,Vocal, TABLA-   VINOD VAISHNAV  SARANGI-  ALLAH RAKHA KALAWANT  HARMONIUM-  JAYANT PHARKE,GAVATI (NIGHT),TEEN TAL,AB SUDH LO MORI SHYAM,BANARAS,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,DELHI,,16-06-2015 16:10,16-06-2015 16:10,Ingest,1,1,58
Gorakh_kalyan-4,Gorakh_kalyan,D,HINDUSTANI CLASSICAL VOCAL BY SARATHI CHATTERJI,SARATHI CHATTERJI (VOCAL),,SARATHI CHATTERJI,,VOCAL RECITAL,Vocal," TABLA-   SHAILENDRA MISHRA,   HARMONIUM-   PAROMITHA MUKERJEE",GORAKH KALYAN (NIGHT),TEEN TAL,"ANNI THANNI AAILA, HUM SURAN KE RAHE PUJARI",,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 02,"ANNI THANNI AAILA, HUM SURAN KE RAHE PUJARI",,HIMACHAL PRADESH,,31-07-2015 15:21,31-07-2015 15:21,Ingest,1,1,49
Abhogi-1,Abhogi,D,HINDUSTANI CLASSICAL VOCAL BY MAHENDRA TOKE,,,MAHENDRA TOKE,,VOCAL RECITAL,Vocal," TABLA-   UDAY RAJHANSH,   HARMONIUM-   CHAITANYA KUNTE",ABHOGI (NIGHT),,,,,,,AKASHVANI SANGEET SAMMELAN,,,,,,,PART 02,,,MAHARASHTRA,,04-08-2015 14:50,04-08-2015 14:50,Ingest,1,1,41
Gorakh_kalyan-2,Gorakh_kalyan,G#,HINDUSTANI CLASSICAL VOCAL BY DR. KALYANI DESHMUKH,KALYANI DESHMUKH (VOCAL),,DR. KALYANI DESHMUKH,,,Vocal," TABLA-  SANDESH POPPATKAR,   HARMONIUM-  JAYRAM POTDAR,  TANPURA- RAJENDRAZOHRAPURKAR",GORAKH KALYAN (NIGHT),EK TAL,DHAN DHAN BHAG,,,,,RAVIVARSIYA AKHIL BHARTYA SANGEET SABHA (NATIONAL PROGRAMME OF MUSIC),,,,,,,PART 01,DHAN DHAN BHAG,,NAGPUR,,21-05-2015 14:43,21-05-2015 14:43,Ingest,1,1,70
Jaijaiwanti-4,Jaijaiwanti,A,HINDUSTANI CLASSICAL VOCAL BY JAYASHREE PATNEKAR,JAYSHREE PATNEKAR (VOCAL),,JAYASHREE PATNEKAR,,VOCAL RECITAL,Vocal, TABLA-  PT. RAGUNATH NAKOD   HARMONIUM-   DR. SUDHANSHU KULKARNI,JAIJAIWANTI (NIGHT),JHAPTAL,PAYAL BAAJE MORE,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,DHARWAD,,24-06-2015 11:05,24-06-2015 11:05,Ingest,1,1,48
Shyam_kalyan-3,Shyam_kalyan,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,SHYAM KALYAN (NIGHT),TEEN TAL,JA RE JA RE KAGWA HAMARE PIYA KE DESHWA,,,,,SPECIAL RECORDING FOR AIR,,,,,,,CUT-09,,,,,10-07-2015 11:13,10-07-2015 11:13,Ingest,1,1,9
Bhopali-10,Bhopali,D#,HINDUSTANI CLASSICAL VOCAL BY ADITYA KHANDWE,,,ADITYA KHANDWE,,,Vocal,"TABLA-  RAM DAS PARSULE,  HARMONIUM-  SHRI RAM HASABNIS",BHOOP (NIGHT),,,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,,,PUNE,,23-06-2015 15:58,23-06-2015 15:58,Ingest,1,1,86
Gavati-1,Gavati,D#,HINDUSTANI CLASSICAL VOCAL BY PRAKASH SANGEET,PRAKASH SANGEET (VOCAL),,,,,Vocal, TABLA-   VISHWANATH SHIRODKAR   HARMONIUM-   SMT. SEEMA SHIRODKAR,GAVATI (NIGHT),EK TAL,MORE MANN LAGO,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,22-07-2015 15:17,22-07-2015 15:17,Ingest,1,1,92
Hameer-1,Hameer,D,HINDUSTANI CLASSICAL VOCAL BY ANIRUDH BHATTACHARYA,,,ANIRUDH BHATTACHARYA,,,Vocal," TABLA-  SATYAVRAT CHATTERJEE,   HARMONIUM-  AMITABH BHATTACHARYA",HAMEER (NIGHT),TEEN TAL,MATHNA MUDHARNA BHAIE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,MATHNA MUDHARNA BHAIE,,KOLKATA,,01-06-2015 14:40,01-06-2015 14:40,Ingest,1,1,25
Hameer-3,Hameer,G#,HINDUSTANI CLASSICAL VOCAL BY USTAD GHULAM SADIQ KHAN,GHULAM SADIQ KHAN (VOCAL),,USTAD GHULAM SADIQ KHAN,,,Vocal," TABLA-  NAFEES AHMED,   HARMONIUM-  JAIRAM POTDAR,  TANPURA- SUBHASH DIXIT & DURGA SHARMA",HAMEER (NIGHT),EK TAL,MORA RE ALBELA MEET PEEHARWA,,,,KHAYAL,AKASHVANI SANGEET SAMMELAN-2010 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,MORA RE ALBELA MEET PEEHARWA,,JALANDHAR,,05-06-2015 13:20,05-06-2015 13:20,Ingest,1,1,70
Hameer-2,Hameer,C#,HINDUSTANI CLASSICAL VOCAL BY AJAY CHAKRAVARTY,AJAY CHAKRAVARTY (Pundit) (VOCAL),,AJAY CHAKRAVARTY,,,Vocal," TABLA-   SAMAR SAHA,   HARMONIUM-  ROOPA BHATTACHARYA",HAMEER (NIGHT),JHOOMRA,SOUN HAMARI PREET LAGI UN,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,SOUN HAMARI PREET LAGI UN,,DELHI,,15-05-2015 12:36,15-05-2015 12:36,Ingest,1,1,80
Todi (ahiri)-1,Todi (ahiri),C#,HINDUSTANI CLASSICAL VOCAL BY ASLAM KHAN,,,,,,Vocal,,AHEERI TODI (MORNING),EK TAL,HAZRAT ALI GHAR AANAD & AB TO RAKH JIYE HAMARI,,,,,,,,,,,,CUT-07,,,,,14-07-2015 12:21,14-07-2015 12:21,Ingest,1,1,19
Hansdhwani-2,Hansdhwani,D,HINDUSTANI CLASSICAL VOCAL BY SHRI ARNAB CHATTERJEE,,,SHRI ARNAB CHATTERJEE,,,Vocal," TABLA-  SHRI SUBHANKAR BANERJEE,   HARMONIUM-  SHRI SOHAN LAL  SHARMA",HANSADHWANI (NIGHT),EK TAL,BHAJ MAN NIT HARI KE NAAM,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,BHAJ MAN NIT HARI KE NAAM,,KOLKATA,,25-05-2015 12:35,26-05-2015 13:00,Manager,1,1,49
Sawani_bihag-3,Sawani_bihag,G#,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHANNO KHURANA,,,,,,Vocal, TABLA-   AKHTAR HASSAN   HARMONIUM-   REHMAN QURESHI  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,SAWANI BIHAG (NIGHT),JHAPTAL,JAANE AKAL SAB,,,,MADHYALAYA GAT,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-02,,,,,24-07-2015 16:20,24-07-2015 16:20,Ingest,1,1,48
Hemant-2,Hemant,C#,"HINDUSTANI CLASSICAL VOCAL BY PT. GOKULOTSAV JI MAHARAJ, CUT- 01",,,PT. GOKULOTSAV JI MAHARAJ,,VOCAL RECITAL,," TABLA-  PT SADANAND NAYAMPALLI, TABLA-  PT SADANAND NAYAMPALLI",HEMANT (NIGHT),JHOOMRA,AI RI BEN BAJAYE,,,,,"AKASHWANI SANGEET SAMMELAN, OCTOBER- 2009 (SPECIAL PROGRMME OF MUSIC)",,,,,,,,,,DELHI,,08-06-2015 12:16,08-06-2015 12:16,Ingest,1,1,53
Hemant-1,Hemant,D,HINDUSTANI CLASSICAL VOCAL BY  DR. MOHAN KUMAR DAREKAR,,,DR. MOHAN KUMAR DAREKAR,,,Vocal," TABLA-  GOVIND PRASAD CHARKAVARTI,  SARANGI- SHAMINDRA PAL SINGH,  TANPURA- ANNU VERMA & SATVINDAR KAUR",HEMANT (NIGHT),JHOOMRA,KAHAN MAN LAGO TERO BALMWA,,,,,AKASHVANI SANGEET SAMMELAN- 2012 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,KAHAN MAN LAGO TERO BALMWA,,JALANDHAR,,05-06-2015 12:42,05-06-2015 12:42,Ingest,1,1,64
Jaijaiwanti-6,Jaijaiwanti,E,HINDUSTANI CLASSICAL VOCAL BY SMT. VIDYA KATGADE (TAAL-VILAMBIT JORA TAAL & MADHIYALAY  TEEN TAAL) PART 02,,,SMT. VIDYA KATGADE,,,Vocal,"TABLA-  SHRI MILIND POTEY,	  HARMONIUM-  CHAITANYA KUNTEY",JAIJAIWANTI (NIGHT),TEEN TAL,LARA MAI SAJAN DAMINI DAMKE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,"TABLA-  SHRI MILIND POTEY,	  HARMONIUM-  CHAITANYA KUNTEY",,,,,,PART 02,,,,,11-02-2015 14:37,11-02-2015 14:37,Ingest,1,1,50
Kafi_kanada-1,Kafi_kanada,D#,HINDUSTANI CLASSICAL VOCAL BY RAJSHEKHAR MANSOOR,RAJSHEKHAR MANSOOR (VOCAL),,,,,Vocal, TABLA-   PANDIT RAGHU NATH NAKOD  HARMONIUM-  D. KUMAR DAS  SARANGI-  FAIYAZ AHMED,KAFI KANADA (NIGHT),TEEN TAL,LAYE RE MADH PIRYA.,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,07-07-2015 12:36,07-07-2015 12:36,Ingest,1,1,55
Kaunsi_kanada-1,Kaunsi_kanada,G#,"HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHURUTI SADOLIKAR, PART- 02",,,VIDUSHI SHURUTI SADOLIKAR,,VOCAL RECITAL,Vocal," TABLA-  OMKAR GULVADI,   HARMONIUM-  ANANT JOSHI,  SARANGI- ANWAR HUSSAIN",KAUSHIK KANADA (NIGHT),TEEN TAL,"OLO MANARE, LALAN TUM BIN KON KARE",,,,VILAMBIT &DRUT GAT,,,,,,,,PART- 02,"OLO MANARE, LALAN TUM BIN KON KARE",HINDUSTANI CLASSICAL INSTRUMENTAL,MAHARASHTRA,,29-10-2015 15:26,29-10-2015 15:26,Ingest,1,1,64
Jaijaiwanti-1,Jaijaiwanti,D,HINDUSTANI CLASSICAL VOCAL BY AMIT MUKHERJEE,,,AMIT MUKHERJEE,,VOCAL RECITAL,Vocal, TABLA-  SANDEEP KUMAR RAI CHAUDHARY   HARMONIUM-  SMT.RUPUSHREE BHATTACHARYA,JAIJAIWANTI (NIGHT),JHOOMRA,AI MAAI SAJANI NA AYE,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,KOLKATA,,10-06-2015 14:37,10-06-2015 14:37,Ingest,1,1,85
Jaijaiwanti-3,Jaijaiwanti,G#,HINDUSTANI CLASSICAL VOCAL BY SUBHRA GUHA (TAAL-BILAMBIT IN EK TAAL & DRUT IN TEEN TAAL),,,SUBHRA GUHA,,,Vocal,TABLA- SAMAR SOHA  HARMONIUM-  RUPOSHI BHATTACHARYA,JAIJAIWANTI (NIGHT),TEEN TAL,PIYA HUM JAN GAYE RE NADAN ANKHIYA LAGI,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,TABLA- SAMAR SOHA  HARMONIUM-  RUPOSHI BHATTACHARYA,,,,,,,,,,,09-02-2015 10:58,09-02-2015 10:58,Ingest,1,1,87
Kafi-8,Kafi,D#,HINDUSTANI CLASSICAL VOCAL BY PRAKASH SANGEET,PRAKASH SANGEET (VOCAL),,,,,Vocal," TABLA-   VISHWANATH SHIRODKAR, HARMONIUM-   SEEMA SHIRODKAR",KAFI (ANYTIME),TAPPA TAL,O MIYAN JANE WALE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,22-07-2015 15:33,22-07-2015 15:33,Ingest,1,1,15
Jait_kalyan-2,Jait_kalyan,A#,HINDUSTANI CLASSICAL VOCAL BY MANJIRI ALEGAONKAR,,,MANJIRI ALEGAONKAR,,,Vocal,"TABLA-  VIKAS PURANDRE,  HARMONIUM-  SUYOG KUNDALKAR",JAIT KALYAN (NIGHT),TEEN TAL,PAPIHA NA BOLE,,,,VILAMBIT KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,PAPIHA NA BOLE,,PUNE,,16-06-2015 15:21,16-06-2015 15:21,Ingest,1,1,63
Bihagda-3,Bihagda,G#,"HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SHURUTI SADOLIKAR, PART- 01",,,VIDUSHI SHURUTI SADOLIKAR,,VOCAL RECITAL,Vocal," TABLA-  OMKAR GULVADI,   HARMONIUM-  ANANT JOSHI,  SARANGI- ANWAR HUSSAIN  TANPURA- TEJA TALE& AVANTI VADVEKAR",BIHAGDA (NIGHT),JHAPTAL,"AAJ KO DIN SHUBH DIN, SHUBH DIN AAJ",,,,,,,,,,,,PART- 01,"AAJ KO DIN SHUBH DIN, SHUBH DIN AAJ",HINDUSTANI CLASSICAL INSTRUMENTAL,MAHARASHTRA,,29-10-2015 15:20,29-10-2015 15:20,Ingest,1,1,64
Deshkaar-1,Deshkaar,D#,HINDUSTANI CLASSICAL VOCAL BY PT. RATNAKAR PAI,RATNAKAR PAI (VOCAL),,,,,Vocal,,DESHKAR (MORNING),,WHO KAHAN LAGAYE.,,,,,SPECIAL RECORDING FOR T & PES ARCHIVES.,,,,,,,CUT-01,,,,,22-07-2015 12:18,22-07-2015 12:18,Ingest,1,1,91
Janasammohini-2,Janasammohini,D#,HINDUSTANI CLASSICAL VOCAL DUET BY RITESH & RAJNISH MISHRA,,,RITESH & RAJNISH MISHRA,,,Vocal Duet,"TABLA-  SHRI NAKUL MISHRA,  HARMONIUM-  AJAY JOGLEKAR",JANASAMMOHINI (NIGHT),EK TAL,PIYA MANAT NAAHI,,,,,AKASHVANI SANGEET SAMMELAN,,,,,,,PART 02,PIYA MANAT NAAHI,,DELHI,,11-05-2015 11:25,11-05-2015 11:25,Ingest,1,1,36
Janasammohini-3,Janasammohini,C,"HINDUSTANI CLASSICAL VOCAL BY PT. MANI PRASAD, CUT- 01",MANI PRASAD (VOCAL),,PT. MANI PRASAD,,VOCAL RECITAL,Vocal,"DUET VOCAL:-LALIT PARSAD, TABLA-  KUMAR PANDIT,  HARMONIUM-  DEEPAK PARSAD",JANASAMMOHINI (NIGHT),EK TAL,,,,,VILAMBIT &DRUT GAT,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 1,,,RAIPUR,,12-05-2015 11:48,12-05-2015 11:48,Ingest,1,1,76
Jaunpuri-2,Jaunpuri,A#,HINDUSTANI CLASSICAL VOCAL BY SMT. ANJANA NATH,,,SMT. ANJANA NATH,,,Vocal," TABLA-  MUKUND BHALE,   HARMONIUM-  SMT. RUPSHREE BHATTACHARYA",JAUNPURI (MORNING),TEEN TAL,PARABHU MORE BHAROSA,,,,THUMARI,AKASHWANI SANGEET SAMMELAN (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 02,PARABHU MORE BHAROSA,,RAIPUR,,05-06-2015 12:33,05-06-2015 12:33,Ingest,1,1,22
Chayanat-3,Chayanat,D#,HINDUSTANI CLASSICAL VOCAL BY ADITYA KHANDWE,,,ADITYA KHANDWE,,,Vocal,"TABLA-  RAM DAS PARSULE,  HARMONIUM-  SHRI RAM HASABNIS",CHAYANAT (NIGHT),,,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,,,PUNE,,23-06-2015 16:01,23-06-2015 16:01,Ingest,1,1,52
Shuddha_sarang-1,Shuddha_sarang,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,SHUDDHA SARANG (AFTERNOON),TEEN TAL,GHAR JANE DE BALAMA.,,,,,SPECIAL RECORDING FOR AIR,,,,,,,CUT-10,,,,,10-07-2015 11:35,10-07-2015 11:35,Ingest,1,1,7
Jayant_malhar-1,Jayant_malhar,A,HINDUSTANI CLASSICAL VOCAL BY NISHA PARASNIS,,,NISHA PARASNIS,,,Vocal,"TABLA-  ONKAR GULWARI,  HARMONIUM-  NIRANJAN LELE",JAYANT MALHAR (NIGHT),EK TAL,RITU BARKHA AYE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,RITU BARKHA AYE,,MUMBAI,,16-06-2015 12:03,16-06-2015 12:03,Ingest,1,1,98
Jhinjhoti-2,Jhinjhoti,D#,HINDUSTANI CLASSICAL VOCAL BY MUJAHID HUSSAIN KHAN,,,MUJAHID HUSSAIN KHAN,,,Vocal," SARANGI-  BHARAT BHUSHAN GOSWAMI, TABLA-  PRASUN CHETTERJEE,  HARMONIUM-  SAJJAD AHMAD",JHINJHOTI (NIGHT),TEEN TAL,,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,,,DELHI,,25-05-2015 15:49,25-05-2015 15:49,Ingest,1,1,27
Jhinjhoti-3,Jhinjhoti,G#,"HINDUSTANI CLASSICAL VOCAL BY PURAVI PARIKH, CUT- 02",,,PURAVI PARIKH,,VOCAL RECITAL,Vocal,"TABLA-  ANUTOSH DEGARIYA, SARANGI-  FAROOQ KHAN  HARMONIUM-  NIRANJAN LELE",JHINJHOTI (NIGHT),ROOPAK,DATA TUMHI HO,,,,,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,MUMBAI,,15-06-2015 12:03,15-06-2015 12:03,Ingest,1,1,31
Kalavati-3,Kalavati,D,HINDUSTANI CLASSICAL VOCAL BY GIRISH CHATTOPADHYAY,,,GIRISH CHATTOPADHYAY`,,VOCAL RECITAL,Vocal," TABLA-   ASIT KUMAR JANA,   HARMONIUM-   HIRANMOY MITRA",KALAVATI (NIGHT),TEEN TAL,"TUM MORE SAIN, SUN SAJANI AAI",,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,"TUM MORE SAIN, SUN SAJANI AAIQ",,WEST BENGAL,,03-08-2015 11:05,03-08-2015 11:05,Ingest,1,1,40
Jhinjhoti-1,Jhinjhoti,C#,HINDUSTANI CLASSICAL VOCAL BY USTAD SHAUKAT HUSSAIN KHAN,,,USTAD SHAUKAT HUSSAIN KHAN,,,Vocal," TABLA-   SHRI PRITHIVI RAJ MISHRA,  SARANGI-  ALLAH RAKKHA,   HARMONIUM-   RAJU KHANDELWAL",JHINJHOTI (NIGHT),EK TAL,,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,,,AHMEDABAD,,14-05-2015 12:45,14-05-2015 12:45,Ingest,1,1,105
Jhoola-1,Jhoola,C#,"HINDUSTANI CLASSICAL VOCAL BY SMT. AVANTIKA CHAKRAVARTI, CUT- 05",,,SMT. AVANTIKA CHAKRAVARTI,,VOCAL RECITAL,Vocal," SARANGI-  KANHAIYA LAL MISHR,  HARMONIUM-  METHAB KHAN,TABLA-  NAND KISHOR MISHRA",JHOOLA (NIGHT),KEHARWA,JHOOLA DHERE SE JULAO BANVARI,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,EPI- 05,,,VARANASI,,11-05-2015 11:33,11-05-2015 11:33,Ingest,1,1,15
Bhairavi-6,Bhairavi,C#,HINDUSTANI CLASSICAL VOCAL BY VIKAS KASHALKAR,,,,,,Vocal, TABLA-   BHARAT KAMATH  HARMONIUM-  SUYOG KUNDALKAR TANPURA- DEEPA MALVANKAR & UDAY KALE,BHAIRAVI (MORNING),,KARAN MOHE LAAGE KANHAI.,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,08-07-2015 16:03,08-07-2015 16:03,Ingest,1,1,19
Basant_bahar-3,Basant_bahar,A,HINDUSTANI CLASSICAL VOCAL BY POORNIMA BHATT KULKARNI,,,POORNIMA BHATT KULKARNI,,VOCAL RECITAL,Vocal,"TABLA- VISHWANATH NAKOD,  HARMONIUM- VYASAMURTHI KATTI",BASANT BAHAR (NIGHT),TEEN TAL,NAVELI KALI KOYAL BOLE,,,,TARANA,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 02,,,KARNATAKA,,13-08-2015 15:39,13-08-2015 15:39,Ingest,1,1,27
Sohni-9,Sohni,D#,HINDUSTANI CLASSICAL VOCAL BY VINAYAK TORVI,VINAYAK TORVI (VOCAL),,,,,Vocal, TABLA-   RAVINDRA YAVGAL  HARMONIUM-  DR.RAVINDRA KATODI,SOHINI (NIGHT),TEEN TAL,KAHE AB TUM,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,06-07-2015 16:39,06-07-2015 16:39,Ingest,1,1,27
Jog-10,Jog,C#,"HINDUSTANI CLASSICAL VOCAL BY NEHA RANJAN BANERJEE, CUT- 02",,,NEHA RANJAN BANERJEE,,VOCAL RECITAL,Vocal,  HARMONIUM-   SUDHANSHU KULKARNI  TABLA-   PT. RAGHUNATH NAKOD,JOG (NIGHT),,,,,,,AKASHWANI SNGEET  SAMMELAN- 2010,,,,,,,,,,DHARWAD,,16-06-2015 11:25,16-06-2015 11:25,Ingest,1,1,29
Jog-7,Jog,B,"HINDUSTANI CLASSICAL VOCAL BY SANCHAITA CHAUDHARY, PART- 01",,,SANCHAITA CHAUDHARY,,,Vocal," TABLA-  SAMAR SAHA, HARMONIUM-   HIRANMOY MITRA, SARANGI-  SARWAR HUSSAIN",JOG (NIGHT),ROOPAK,O BALMA TUMHARE BINA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,O BALMA TUMHARE BINA,,KOLKATA,,07-05-2015 11:49,07-05-2015 11:49,Ingest,1,1,29
Jog-12,Jog,C#,"HINDUSTANI CLASSICAL VOCAL BY K.V. NANDA KUMAR,CUT- 02",,,K.V. NANDA KUMAR,,VOCAL RECITAL,Vocal," TABLA-  PT.  RAVINDRA YAVGAL ,  VIOLIN-   C.N. CHANDRA SHEKHAR ,  HARMONIUM-  DR. RAVINDRA KATOTI",JOG (NIGHT),ROOPAK,,,,,MADHYALAYA GAT,NATIONAL PROGRAM OF MUSIC,,,,,,,PART 1,,,BANGALORE,,14-05-2015 14:23,14-05-2015 14:23,Ingest,1,1,44
Jog-13,Jog,D,"HINDUSTANI CLASSICAL VOCAL BY AMIT MUKHERJEE,CUT- 01",,,AMIT MUKHERJEE,,VOCAL RECITAL,Vocal, TABLA-  SANDEEP KUMAR RAI CHAUDHARY   HARMONIUM-  SMT.RUPUSHREE BHATTACHARYA,JOG (NIGHT),ROOPAK,O BALMA KAB GHAR AYENGE,,,,MADHYALAYA KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,KOLKATA,,10-06-2015 14:40,10-06-2015 14:40,Ingest,1,1,45
Jog-3,Jog,C#,"HINDUSTANI CLASSICAL VOCAL BY PT.PREM KUMAR MALIK, CUT- 02",PREM KUMAR MALLIK (VOCAL),,PT.PREM KUMAR MALIK,,VOCAL RECITAL,Vocal," PAKHAWAJ- KAUSHIK KUMAR MALIK,  SARANGI-  SANTOSH KR.MISHRA",JOG (NIGHT),,KHELAN AYE HARI KANIE,,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 2,,,SILIGURI,,11-05-2015 15:02,11-05-2015 15:02,Ingest,1,1,45
Jog-11,Jog,D,HINDUSTANI CLASSICAL VOCAL BY ANIRUDH BHATTACHARYA,,,ANIRUDH BHATTACHARYA,,,Vocal," TABLA-  SATYAVRAT CHATTERJEE,   HARMONIUM-  AMITABH BHATTACHARYA",JOG (NIGHT),ROOPAK,O BALMA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,O BALMA,,KOLKATA,,01-06-2015 14:37,01-06-2015 14:37,Ingest,1,1,48
Jog-5,Jog,C#,HINDUSTANI CLASSICAL VOCAL BY SHARAD SUTAVANE,SHARAD SUTAVANE (VOCAL),,SHARAD SUTAVANE,,,Vocal," TABLA-  PANDIT MADAN MISHR,   HARMONIUM-  ANANT KEMKAR",JOG (NIGHT),TEEN TAL,PALKAN NAHIN NINDYA AAJ MOHE,,,,,AKHIL BHARTIYA RAVIVASRIYA SANGEET SABHA,,,,,,,PART 01,PALKAN NAHIN NINDYA AAJ MOHE,,MUMBAI,,27-05-2015 11:28,27-05-2015 11:28,Ingest,1,1,49
Jog_kauns-10,Jog_kauns,A,"HINDUSTANI CLASSICAL VOCAL BY MANJUSHA KULKARNI PATIL, CUT- 02",,,MANJUSHA KULKARNI PATIL,,VOCAL RECITAL,Vocal,TABLA-  MILIND POTE   HARMONIUM-  SHRI RAM HASABNIS,JOG (NIGHT),EK TAL,SUDHAR BAR PAYA NEKI BANKE,,,,VILAMBIT &DRUT GAT,AKASHWANI SANGEET SABHA PROGRMME OF MUSIC),,,,,,,,,,GORAKHPUR,,04-06-2015 14:29,04-06-2015 14:29,Ingest,1,1,49
Jog-9,Jog,D,HINDUSTANI CLASSICAL VOCAL BY SHRI ARNAB CHATTERJEE,,,SHRI ARNAB CHATTERJEE,,,Vocal," TABLA-  SHRI SUBHANKAR BANERJEE,   HARMONIUM-  SHRI SOHAN LAL  SHARMA",JOG (NIGHT),TEEN TAL,PEHARVA KO,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,PEHARVA KO,,KOLKATA,,25-05-2015 12:45,25-05-2015 12:45,Ingest,1,1,59
Jog-8,Jog,C#,"HINDUSTANI CLASSICAL VOCAL BY BALDEV SHARAN NARANG, CUT- 01",,,BALDEV SHARAN NARANG,,VOCAL RECITAL,Vocal," TABLA-   KALE RAM, SARANGI-  SHAMINDAR PAL SINGH (STAFF)",JOG (NIGHT),EK TAL,JOGI BHAY SHYAM,,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,SANTOSH RISHI,STAFF,PREET INDER DHILLON PARAMJIT SINGH (PEX),,,,,JALANDHAR,,16-06-2015 16:37,16-06-2015 16:37,Ingest,1,1,61
Jog-1,Jog,D,HINDUSTANI CLASSICAL VOCAL BY RATAN MOHAN SHARMA,,,RATAN MOHAN SHARMA,,,Vocal," TABLA-  KALINATH MISHRA,   HARMONIUM-   NIRANJAN LELE",JOG (NIGHT),EK TAL,PIYA GHAR NA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,PIYA GHAR NA,,MUMBAI,,12-06-2015 14:41,12-06-2015 14:41,Ingest,1,1,65
Jog-4,Jog,G#,HINDUSTANI CLASSICAL VOCAL BY BAKUL CHATTOPADHYAY,BAKUL CHATTOPADHAYA (VOCAL),,BAKUL CHATTOPADHYAY,,VOCAL RECITAL,Vocal," TABLA-   SUJIT SAHA  HARMONIUM-  RUPASHREE BHATTACHARYA, TANPURA-  MITA HALDAR",JOG (NIGHT),EK TAL,PIHARWA KO VIRMAO,,,,VILAMBIT KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,KOLKATA,,11-06-2015 11:39,11-06-2015 11:39,Ingest,1,1,70
